County,Year,MME,State,Population
Walton,2006,128587868677.125,Florida,.
Walton,2007,155152460308.65616,Florida,.
Walton,2008,143983149589.3692,Florida,.
Walton,2009,167193901374.5695,Florida,.
Walton,2010,202102421762.46448,Florida,.
Walton,2011,207035891927.72156,Florida,.
Walton,2012,206370124350.3165,Florida,.
Walton,2013,210841241385.1104,Florida,.
Walton,2014,170765260409.98953,Florida,.
Washington,2006,20935197650.31,Florida,.
Washington,2007,29030422580.7454,Florida,.
Washington,2008,35325431810.8695,Florida,.
Washington,2009,39990212497.73348,Florida,.
Washington,2010,41645356192.4082,Florida,.
Washington,2011,43399598592.903366,Florida,.
Washington,2012,50776549900.26254,Florida,.
Washington,2013,50067916773.16275,Florida,.
Washington,2014,40211314786.87575,Florida,.
Appling,2006,5623500925.664,Georgia,.
Appling,2007,6659054455.243774,Georgia,.
Appling,2008,9051641385.528,Georgia,.
Appling,2009,11236121351.217564,Georgia,.
Appling,2010,24337244112.041523,Georgia,.
Appling,2011,26062484826.89,Georgia,.
Appling,2012,29543930035.4825,Georgia,.
Appling,2013,24113202376.300003,Georgia,.
Appling,2014,17836539004.9875,Georgia,.
Atkinson,2006,838347398.888,Georgia,.
Atkinson,2007,1235068631.2800002,Georgia,.
Atkinson,2008,2030106837.85,Georgia,.
Atkinson,2009,2115550110.2375,Georgia,.
Atkinson,2010,5274375129.932501,Georgia,.
Atkinson,2011,3993822098.28,Georgia,.
Atkinson,2012,4438462199.070001,Georgia,.
Atkinson,2013,5373175286.687501,Georgia,.
Atkinson,2014,3324430785.3,Georgia,.
Bacon,2006,5013447811.615999,Georgia,.
Bacon,2007,13743328052.852,Georgia,.
Bacon,2008,14586249061.231064,Georgia,.
Bacon,2009,23077715517.4,Georgia,.
Bacon,2010,72771476911.40251,Georgia,.
Bacon,2011,50060295133.450005,Georgia,.
Bacon,2012,40873505506.875,Georgia,.
Bacon,2013,24504820276.998085,Georgia,.
Bacon,2014,19636130050.455,Georgia,.
Baker,2006,48153.05,Georgia,.
Baldwin,2006,38765250030.90537,Georgia,.
